title,artist,album,duration,file_url
Dil Kya Kare Jub-Shaan,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Dil%20Kya%20Kare%20Jub-ShaanRaag.Me.mp3
Mohbbatdilkasakoon,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/MohbbatDilKaSakoon.mp3
Aane Se Uske Aaye Bahar-Mohammed Rafi,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Aane%20Se%20Uske%20Aaye%20Bahar-Mohammed%20RafiRaag.Me.mp3
Tohfa Tohfa (Tohfa)-Kishore Kumar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Tohfa%20Tohfa%20(Tohfa)-Kishore%20KumarRaag.Me.mp3
Rimjhim Gire Sawan - Kishore Kumar-Various,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Rimjhim%20Gire%20Sawan%20-%20Kishore%20Kumar-VariousRaag.Me.mp3
Dilbar Dil,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/DILBAR%20DIL.mp3
Kaanta Laga Haye Laga-Dj Doll,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Kaanta%20Laga%20Haye%20Laga-Dj%20DollRaag.Me.mp3
Anadi - Jaane Ja,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/026%20%20ANADI%20-%20JAANE%20JA.MP3
Julie = Bhul Gaya Sab Kuch,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/044%20JULIE%20%3D%20BHUL%20GAYA%20SAB%20KUCH.mp3
Jise Dekh Mera Dil Dhadka - Phool Aur Kaante (1991) Full Video Song Hd (3,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Jise%20Dekh%20Mera%20Dil%20Dhadka%20-%20Phool%20Aur%20Kaante%20(1991)%20Full%20Video%20Song%20HD%20(3.mp3
Dhinak Dhin Tana,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Dhinak%20dhin%20tana.mp3
